CHIMBORAZO; 208.509 ; 69.072 ; 28.640 ; 24.268 ; 16.164 ; 139.437 ; 28.837 ; 29.527 ; 81.073 ; 53.794 ;;
IMBABURA; 80.116 ; 28.859 ; 6.400 ; 15.966 ; 6.493 ; 51.257 ; 9.305 ; 12.861 ; 29.091 ; 15.660 ;;
LOJA; 185.051 ; 56.022 ; 22.850 ; 19.568 ; 13.603 ; 129.029 ; 23.704 ; 30.491 ; 74.835 ; 44.802 ;;
PICHINCHA; 295.462 ; 63.130 ; 24.786 ; 26.896 ; 11.447 ; 232.333 ; 46.400 ; 58.477 ; 127.455 ; 83.995 ;;
TUNGURAHUA; 120.199 ; 39.139 ; 16.317 ; 11.949 ; 10.873 ; 81.060 ; 18.158 ; 14.438 ; 48.463 ; 31.796 ;;
SANTO DOMINGO DE LOS TSÁCHILAS; 132.358 ; 48.361 ; 12.553 ; 29.938 ; 5.869 ; 83.998 ; 15.682 ; 24.719 ; 43.597 ; 25.117 ;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
;;;;;;;;;;;;
EL ORO; 144.631 ; 48.194 ; 15.722 ; 20.915 ; 11.556 ; 96.437 ; 16.554 ; 25.853 ; 54.030 ; 31.018 ;;
ESMERALDAS; 331.028 ; 128.229 ; 35.645 ; 71.691 ; 20.892 ; 202.799 ; 36.298 ; 57.968 ; 108.533 ; 64.972 ;;
GUAYAS; 290.821 ; 71.256 ; 32.408 ; 27.854 ; 10.993 ; 219.565 ; 38.404 ; 56.350 ; 124.811 ; 65.894 ;;
LOS RÍOS; 103.300 ; 25.123 ; 9.920 ; 10.745 ; 4.458 ; 78.177 ; 14.197 ; 24.275 ; 39.704 ; 20.282 ;;
MANABÍ; 893.088 ; 241.790 ; 109.335 ; 99.761 ; 32.694 ; 651.299 ; 119.615 ; 188.958 ; 342.726 ; 192.770 ;;
SANTA ELENA; 7.275 ; 1.741 ; 489 ; 941 ; 311 ; 5.534 ; 693 ; 2.552 ; 2.289 ; 1.195 ;;
;;;;;;;;;;;;
REGIÓN ORIENTAL;;;;;;;;;;;;
;;;;;;;;;;;;
MORONA SANTIAGO; 152.022 ; 52.585 ; 15.024 ; 18.459 ; 19.102 ; 99.437 ; 15.077 ; 22.894 ; 61.466 ; 28.916 ;;
NAPO; 18.234 ; 6.235 ; 1.559 ; 3.688 ; 987 ; 11.999 ; 2.250 ; 4.007 ; 5.742 ; 3.993 ;;
ORELLANA; 48.365 ; 25.134 ; 3.611 ; 11.753 ; 9.770 ; 23.232 ; 4.407 ; 8.768 ; 10.057 ; 7.330 ;;
PASTAZA; 13.409 ; 3.810 ; 1.530 ; 1.480 ; 801 ; 9.599 ; 2.496 ; 2.046 ; 5.057 ; 3.854 ;;
SUCUMBÍOS; 73.488 ; 29.486 ; 10.246 ; 13.756 ; 5.484 ; 44.003 ; 8.626 ; 11.839 ; 23.538 ; 16.296 ;;
ZAMORA CHINCHIPE; 85.642 ; 29.258 ; 7.620 ; 11.520 ; 10.118 ; 56.384 ; 11.954 ; 16.039 ; 28.391 ; 19.837 ;;
ZONAS NO DELIMITADAS; 12.180 ; 4.270 ; 1.803 ; 1.934 ; 533 ; 7.910 ; 1.537 ; 2.031 ; 4.342 ; 2.675 ;;
;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
