CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 12.030 ; 4.947 ; 2.411 ; 16.772 ; 2.581 ; 36 ; . ; 6.058 ; 4.709 ; 2.888 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ; . ; . ; . ;;
MANGO (FRUTA FRESCA);Solo; 6.762 ; 3.927 ; 4.530 ; 4.351 ; 4.589 ; 4.492 ; 1.787 ; 11.864 ; 14.514 ; 12.717 ;;
;Asociado; 36 ; . ; . ; 17 ; 19 ; . ; . ; 35 ; 16 ; 16 ;;
MARACUYÁ (FRUTA FRESCA);Solo; 9.398 ; 66 ; . ; 8.313 ; 1.127 ; 25 ; . ; 2.198 ; 4.706 ; 6.185 ;;
;Asociado; 3.083 ; 593 ; . ; 2.910 ; 752 ; . ; 14 ; 522 ; 2.732 ; 2.666 ;;
NARANJA (FRUTA FRESCA);Solo; 1.852 ; 971 ; 1.550 ; 2.744 ; 1.083 ; 546 ; . ; 749 ; 961 ; 1.227 ;;
;Asociado; 5.491 ; 6.983 ; 9.297 ; 15.935 ; 5.579 ; 257 ; . ; 2.660 ; 7.955 ; 8.369 ;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 179.323 ; 117.094 ; 58.706 ; 63.813 ; 190.729 ; 70.224 ; 30.356 ; 33.993 ; 253.210 ; 234.053 ;;
;Asociado; 7.790 ; 3.371 ; 3.122 ; 5.951 ; 8.153 ; 180 ; . ; 85 ; 3.746 ; 4.676 ;;
PALMITO (TALLO FRESCO);Solo; 3.121 ; 7.032 ; 858 ; 4.398 ; 6.527 ; 87 ; . ; 240 ; 6.929 ; 4.937 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ; . ; . ; . ;;
PIÑA (FRUTA FRESCA);Solo; 6.966 ; 659 ; 644 ; 4.351 ; 2.344 ; 1.331 ; 243 ; 2.570 ; 7.339 ; 7.411 ;;
;Asociado; 921 ; . ; . ; 666 ; 255 ; . ; . ; 197 ; 868 ; 868 ;;
PLÁTANO (FRUTA FRESCA);Solo; 49.856 ; 17.008 ; 14.011 ; 76.101 ; 4.451 ; 323 ; . ; 5.416 ; 27.812 ; 35.325 ;;
;Asociado; 29.941 ; 7.187 ; 5.352 ; 38.385 ; 4.041 ; 54 ; . ; 6.870 ; 9.655 ; 13.529 ;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 2.862 ; . ; . ; 2.035 ; 759 ; 68 ; . ; 1.630 ; 2.150 ; 2.076 ;;
;Asociado; 677 ; . ; . ; 671 ; 6 ; . ; . ; 609 ; 618 ; 594 ;;
OTROS PERMANENTES;Solo; 29.708 ; 10.747 ; 13.656 ; 37.669 ; 11.261 ; 4.398 ; 784 ; 17.805 ; 22.304 ; 24.984 ;;
;Asociado; 7.090 ; 3.170 ; 6.497 ; 14.333 ; 2.364 ; 58 ; 2 ; 5.552 ; 5.645 ; 6.474 ;;
;;;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
