;Asociado; 3.709 ; 27 ; . ; . ; . ; 178 ; 1.707 ; 139 ;;
HABA TIERNA (EN VAINA);Solo; 5.259 ; 197 ; 43 ; 9 ; . ; 2.572 ; 4.092 ; 3.160 ;;
;Asociado; 3.433 ; 56 ; . ; . ; . ; 269 ; 1.400 ; 380 ;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 1.693 ; 708 ; 2.203 ; 108 ; . ; 536 ; 3.465 ; 3.416 ;;
;Asociado; 705 ; 558 ; 501 ; 33 ; . ; 109 ; 1.311 ; 1.239 ;;
MAÍZ DURO SECO (GRANO SECO);Solo; 69.171 ; 111.972 ; 217.816 ; 7.274 ; 10.418 ; 26.420 ; 388.753 ; 386.830 ;;
;Asociado; 4.051 ; 3.595 ; 14.196 ; 93 ; 567 ; 946 ; 20.864 ; 20.643 ;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 48.856 ; 2.562 ; 611 ; 16 ; . ; 28.832 ; 23.775 ; 19.154 ;;
;Asociado; 17.073 ; 238 ; 54 ; 7 ; . ; 1.988 ; 6.649 ; 1.357 ;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 30.342 ; 1.467 ; 285 ; 51 ; 35 ; 3.637 ; 14.596 ; 10.569 ;;
;Asociado; 24.346 ; 430 ; 82 ; 7 ; . ; 1.923 ; 10.192 ; 2.399 ;;
PAPA (TUBÉRCULO FRESCO);Solo; 27.123 ; 2.842 ; 1.524 ; . ; . ; 13.307 ; 28.534 ; 26.739 ;;
;Asociado; 539 ; 9 ; . ; . ; . ; 290 ; 442 ; 330 ;;
QUINUA (GRANO SECO);Solo; 4.233 ; 1.650 ; 1.672 ; . ; 200 ; 2.707 ; 5.365 ; 2.491 ;;
;Asociado; 132 ; . ; . ; . ; . ; . ; 54 ; . ;;
SOYA (GRANO SECO);Solo; 9.985 ; 7.103 ; 6.189 ; . ; . ; 2.615 ; 22.044 ; 22.538 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ; . ;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 700 ; 745 ; 526 ; 186 ; 356 ; 2.304 ; 2.477 ; 2.335 ;;
;Asociado; 31 ; . ; . ; . ; . ; . ; 31 ; . ;;
TRIGO (GRANO SECO);Solo; 2.950 ; 263 ; 11 ; . ; . ; 700 ; 1.031 ; 902 ;;
;Asociado; . ; . ; . ; . ; . ; . ; . ; . ;;
YUCA (RAÍZ FRESCA);Solo; 13.790 ; 1.731 ; . ; . ; 2 ; 755 ; 6.136 ; 7.246 ;;
;Asociado; 3.378 ; 194 ; . ; . ; . ; 205 ; 1.039 ; 1.330 ;;
OTROS TRANSITORIOS;Solo; 34.873 ; 10.065 ; 8.711 ; 554 ; 1.839 ; 23.964 ; 37.091 ; 32.687 ;;
;Asociado; 4.477 ; 264 ; 172 ; . ; . ; 1.578 ; 2.246 ; 1.782 ;;
;;;;;;;;;;;
Fuente: INEC 2015;;;;;;;;;;;
