;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tamaño de Unidad de Producción Agropecuaria;SEXO;;;ÍNDICE;;;;;;;;;;;;;
;HOMBRES;MUJERES;;;;;;;;;;;;;;;
TOTAL NACIONAL;1.1%;6.4%;14.9%;45.9%;30.8%;0.9%;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Menor a 1 hectárea;1.7%;9.1%;18.5%;43.4%;26.2%;1.0%;;;;;;;;;;;
De 1 hectárea a menos de 2 hectáreas;1.3%;8.0%;16.6%;45.2%;28.3%;0.8%;;;;;;;;;;;
De 2 hectáreas a menos de 3 hectáreas;1.3%;6.4%;16.1%;46.0%;29.5%;0.8%;;;;;;;;;;;
De 3 hectáreas a menos de 5 hectáreas;1.2%;6.2%;15.0%;46.8%;30.0%;0.7%;;;;;;;;;;;
De 5 hectáreas a menos de 10 hectáreas;1.1%;5.9%;13.1%;46.6%;32.6%;0.6%;;;;;;;;;;;
De 10 hectáreas a menos de 20 hectáreas;0.8%;5.4%;12.8%;46.8%;33.7%;0.5%;;;;;;;;;;;
De 20 hectáreas a menos de 50 hectáreas;0.8%;4.6%;12.5%;48.0%;33.4%;0.7%;;;;;;;;;;;
De 50 hectáreas a menos de 100 hectáreas;0.4%;3.1%;12.7%;46.1%;37.0%;0.8%;;;;;;;;;;;
De 100 hectáreas a menos de 200 hectáreas;0.4%;3.2%;10.8%;49.7%;34.0%;2.0%;;;;;;;;;;;
Mayor a 200 hectáreas;0.2%;3.7%;11.5%;45.6%;36.3%;2.7%;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;;;;
