;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PLANTADA (Has.);;;;;;;;;;;ÍNDICE;
;;EDAD DE LA PLANTACIÓN;;;TIPO SE SEMILLA UTILIZADA;;;;PRÁCTICA DE CULTIVO;;;;;
MANGO (FRUTA FRESCA);Solo; 2,195 ; 3,678 ; 12,206 ; 12,485 ; 5,412 ; 182 ;; 16,428 ; 14,217 ; 9,827 ;;;
;Asociado; 322 ; 2 ;;; 323 ;;; 300 ; 262 ; 260 ;;;
MARACUYÁ (FRUTA FRESCA);Solo; 12,022 ; 1 ;; 7,157 ; 4,720 ; 82 ; 65 ; 1,888 ; 7,634 ; 7,668 ;;;
;Asociado; 1,966 ;;; 361 ; 1,606 ;;; 67 ; 1,049 ; 1,906 ;;;
NARANJA (FRUTA FRESCA);Solo; 2,005 ; 1,357 ; 1,639 ; 3,232 ; 1,754 ;; 15 ; 1,051 ; 661 ; 1,532 ;;;
;Asociado; 4,833 ; 5,235 ; 3,343 ; 6,181 ; 6,770 ; 460 ;; 2,759 ; 6,568 ; 8,365 ;;;
ORITO (FRUTA FRESCA);Solo; 3,525 ; 1,843 ; 1,742 ; 5,953 ; 1,156 ;;; 859 ; 1,692 ; 2,529 ;;;
;Asociado; 332 ; 171 ; 126 ; 458 ; 172 ;;;; 189 ; 368 ;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 102,110 ; 68,762 ; 22,147 ; 49,961 ; 63,914 ; 62,969 ; 16,176 ; 52,302 ; 144,551 ; 141,214 ;;;
;Asociado; 859 ; 1,224 ; 980 ; 441 ; 1,984 ; 638 ;; 5 ; 1,712 ; 1,521 ;;;
PALMITO (TALLO FRESCO);Solo; 761 ; 1,169 ; 2,028 ; 2,118 ; 1,287 ; 552 ;;; 2,971 ; 3,462 ;;;
;Asociado;;;;;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo; 6,576 ; 2,236 ;; 3,931 ; 2,147 ; 1,098 ; 1,636 ; 5,070 ; 7,856 ; 7,619 ;;;
;Asociado;;;;;;;;;;;;;
PLÁTANO (FRUTA FRESCA);Solo; 67,779 ; 15,212 ; 11,391 ; 75,401 ; 18,320 ; 572 ; 88 ; 17,962 ; 41,147 ; 53,241 ;;;
;Asociado; 27,262 ; 7,323 ; 4,178 ; 26,633 ; 11,957 ; 172 ;; 7,284 ; 18,963 ; 23,861 ;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 2,462 ; 5 ;; 881 ; 1,569 ; 16 ;; 1,484 ; 2,300 ; 1,980 ;;;
;Asociado; 68 ;;; 46 ; 22 ;;; 41 ; 52 ; 61 ;;;
OTROS PERMANENTES;Solo; 47,460 ; 6,249 ; 18,077 ; 50,995 ; 18,384 ; 1,666 ; 741 ; 16,755 ; 28,265 ; 28,564 ;;;
;Asociado; 2,124 ; 553 ; 291 ; 2,073 ; 865 ;; 30 ; 1,181 ; 1,574 ; 1,859 ;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2022;;;;;;;;;;;;;;
